SGTime,UnixTime,ST
39.895222902298,1632814535.61531,28.83
40.1452429294586,1632814535.86533,28.85
40.3952529430389,1632814536.11534,28.85
40.6452629566193,1632814536.36535,28.85
40.8952729701996,1632814536.61536,28.85
41.1452829837799,1632814536.86537,28.85
41.3952929973602,1632814537.11538,28.85
41.6453130245209,1632814537.3654,28.85
41.8953230381012,1632814537.61541,28.85
42.1453330516815,1632814537.86542,28.83
42.3953430652618,1632814538.11543,28.83
42.6453528404236,1632814538.36544,28.83
42.8953628540039,1632814538.61545,28.83
43.1453828811646,1632814538.86547,28.85
43.3953928947449,1632814539.11548,28.85
43.6454029083252,1632814539.36549,28.85
43.8954129219055,1632814539.6155,28.85
44.1454229354858,1632814539.86551,28.83
44.3954329490662,1632814540.11552,28.83
44.6454429626465,1632814540.36553,28.83
44.8954629898071,1632814540.61555,28.83
45.1454730033875,1632814540.86556,28.83
45.3954830169678,1632814541.11557,28.83
45.6454930305481,1632814541.36558,28.83
45.8955030441284,1632814541.61559,28.83
46.1455130577087,1632814541.8656,28.85
46.3955328464508,1632814542.11562,28.85
46.6455428600311,1632814542.36563,28.85
46.8955528736115,1632814542.61564,28.85
47.1455628871918,1632814542.86565,28.85
47.3955729007721,1632814543.11566,28.85
47.6455829143524,1632814543.36567,28.85
47.8956029415131,1632814543.61569,28.85
48.1456129550934,1632814543.8657,28.83
48.3956229686737,1632814544.11571,28.83
48.645632982254,1632814544.36572,28.83
48.8956429958344,1632814544.61573,28.83
49.1456530094147,1632814544.86574,28.85
49.395663022995,1632814545.11575,28.85
49.6456830501556,1632814545.36577,28.85
49.895693063736,1632814545.61578,28.85
50.1457028388977,1632814545.86579,28.85
50.395712852478,1632814546.1158,28.85
50.6457228660584,1632814546.36581,28.85
50.8957328796387,1632814546.61582,28.85
51.1457529067993,1632814546.86584,28.83
51.3957629203796,1632814547.11585,28.83
51.64577293396,1632814547.36586,28.83
51.8957829475403,1632814547.61587,28.83
52.1457929611206,1632814547.86588,28.83
52.3958029747009,1632814548.11589,28.83
52.6458230018616,1632814548.36591,28.83
52.8958330154419,1632814548.61592,28.83
53.1458430290222,1632814548.86593,28.83
53.3958530426025,1632814549.11594,28.83
53.6458630561829,1632814549.36595,28.83
53.8958728313446,1632814549.61596,28.83
54.1458828449249,1632814549.86597,28.83
54.3959028720856,1632814550.11599,28.83
54.6459128856659,1632814550.366,28.83
54.8959228992462,1632814550.61601,28.83
55.1459329128265,1632814550.86602,28.85
55.3959429264069,1632814551.11603,28.85
55.6459529399872,1632814551.36604,28.85
55.8959729671478,1632814551.61606,28.85
56.1459829807281,1632814551.86607,28.87
56.3959929943085,1632814552.11608,28.87
56.6460030078888,1632814552.36609,28.87
56.8960130214691,1632814552.6161,28.87
57.1460230350494,1632814552.86611,28.85
57.3960430622101,1632814553.11613,28.85
57.6460528373718,1632814553.36614,28.85
57.8960628509521,1632814553.61615,28.85
59.896152973175,1632814555.61624,28.85
60.1461629867554,1632814555.86625,28.87
60.3961730003357,1632814556.11626,28.87
60.6461930274963,1632814556.36628,28.87
60.8962030410767,1632814556.61629,28.87
61.146213054657,1632814556.8663,28.85
61.3962228298187,1632814557.11631,28.85
61.646232843399,1632814557.36632,28.85
61.8962428569794,1632814557.61633,28.85
63.8963429927826,1632814559.61643,28.85
64.1463530063629,1632814559.86644,28.87
64.3963630199432,1632814560.11645,28.87
64.6463730335236,1632814560.36646,28.87
64.8963830471039,1632814560.61647,28.87
65.1463930606842,1632814560.86648,28.87
65.3964128494263,1632814561.1165,28.87
65.6464228630066,1632814561.36651,28.87
65.8964328765869,1632814561.61652,28.87
67.8965229988098,1632814563.61661,28.87
68.1465330123901,1632814563.86662,28.85
68.3965430259705,1632814564.11663,28.85
68.6465630531311,1632814564.36665,28.85
68.8965730667114,1632814564.61666,28.85
69.1465828418732,1632814564.86667,28.85
69.3965928554535,1632814565.11668,28.85
69.6466028690338,1632814565.36669,28.85
69.8966128826141,1632814565.6167,28.85
70.1466329097748,1632814565.86672,28.87
70.3966429233551,1632814566.11673,28.87
70.6466529369354,1632814566.36674,28.87
70.8966629505157,1632814566.61675,28.87
71.1466729640961,1632814566.86676,28.85
71.3966829776764,1632814567.11677,28.85
71.646703004837,1632814567.36679,28.85
71.8967130184174,1632814567.6168,28.85
72.1467230319977,1632814567.86681,28.87
72.396733045578,1632814568.11682,28.87
72.6467430591583,1632814568.36683,28.87
72.8967528343201,1632814568.61684,28.87
73.1467628479004,1632814568.86685,28.87
73.396782875061,1632814569.11687,28.87
73.6467928886414,1632814569.36688,28.87
73.8968029022217,1632814569.61689,28.87
74.146812915802,1632814569.8669,28.87
74.3968229293823,1632814570.11691,28.87
74.6468329429626,1632814570.36692,28.87
74.8968529701233,1632814570.61694,28.87
75.1468629837036,1632814570.86695,28.87
75.3968729972839,1632814571.11696,28.87
75.6468830108643,1632814571.36697,28.87
75.8968930244446,1632814571.61698,28.87
76.1469030380249,1632814571.86699,28.87
76.3969130516052,1632814572.117,28.87
76.6469328403473,1632814572.36702,28.87
76.8969428539276,1632814572.61703,28.87
77.1469528675079,1632814572.86704,28.87
77.3969628810883,1632814573.11705,28.87
77.6469728946686,1632814573.36706,28.87
77.8969829082489,1632814573.61707,28.87
78.1470029354095,1632814573.86709,28.87
78.3970129489899,1632814574.1171,28.87
78.6470229625702,1632814574.36711,28.87
78.8970329761505,1632814574.61712,28.87
79.1470429897308,1632814574.86713,28.87
79.3970530033112,1632814575.11714,28.87
79.6470730304718,1632814575.36716,28.87
79.8970830440521,1632814575.61717,28.87
80.1470930576324,1632814575.86718,28.85
80.3971028327942,1632814576.11719,28.85
80.6471128463745,1632814576.3672,28.85
80.8971228599548,1632814576.61721,28.85
81.1471328735352,1632814576.86722,28.87
81.3971529006958,1632814577.11724,28.87
81.6471629142761,1632814577.36725,28.87
81.8971729278564,1632814577.61726,28.87
82.1471829414368,1632814577.86727,28.87
82.3971929550171,1632814578.11728,28.87
82.6472029685974,1632814578.36729,28.87
82.8972229957581,1632814578.61731,28.87
83.1472330093384,1632814578.86732,28.87
83.3972430229187,1632814579.11733,28.87
83.647253036499,1632814579.36734,28.87
83.8972630500793,1632814579.61735,28.87
84.1472730636597,1632814579.86736,28.89
84.3972928524017,1632814580.11738,28.89
84.6473028659821,1632814580.36739,28.89
84.8973128795624,1632814580.6174,28.89
85.1473228931427,1632814580.86741,28.89
85.397332906723,1632814581.11742,28.89
85.6473429203033,1632814581.36743,28.89
85.8973529338837,1632814581.61744,28.89
86.1473729610443,1632814581.86746,28.87
86.3973829746246,1632814582.11747,28.87
86.647392988205,1632814582.36748,28.87
86.8974030017853,1632814582.61749,28.87
87.1474130153656,1632814582.8675,28.89
87.3974230289459,1632814583.11751,28.89
87.6474430561066,1632814583.36753,28.89
87.8974528312683,1632814583.61754,28.89
89.6475329399109,1632814585.36762,28.89
89.8975429534912,1632814585.61763,28.89
90.1475529670715,1632814585.86764,28.89
90.3975629806519,1632814586.11765,28.89
90.6475729942322,1632814586.36766,28.89
90.8975930213928,1632814586.61768,28.89
91.1476030349731,1632814586.86769,28.89
91.3976130485535,1632814587.1177,28.89
91.6476230621338,1632814587.36771,28.89
91.8976328372955,1632814587.61772,28.89
92.1476428508759,1632814587.86773,28.89
92.3976628780365,1632814588.11775,28.89
92.6476728916168,1632814588.36776,28.89
92.8976829051971,1632814588.61777,28.89
93.1476929187775,1632814588.86778,28.89
93.3977029323578,1632814589.11779,28.89
93.6477129459381,1632814589.3678,28.89
93.8977329730988,1632814589.61782,28.89
95.8978228569031,1632814591.61791,28.89
97.3978929519653,1632814593.11798,28.89
97.6479029655457,1632814593.36799,28.89
97.897912979126,1632814593.618,28.89
98.1479229927063,1632814593.86801,28.91
98.3979330062866,1632814594.11802,28.91
98.6479530334473,1632814594.36804,28.91
98.8979630470276,1632814594.61805,28.91
99.1479730606079,1632814594.86806,28.89
99.3979828357697,1632814595.11807,28.89
99.64799284935,1632814595.36808,28.89
99.8980028629303,1632814595.61809,28.89
100.148012876511,1632814595.8681,28.89
100.398032903671,1632814596.11812,28.89
100.648042917252,1632814596.36813,28.89
100.898052930832,1632814596.61814,28.89
101.148062944412,1632814596.86815,28.87
101.398072957993,1632814597.11816,28.87
101.648082971573,1632814597.36817,28.87
101.898102998734,1632814597.61819,28.87
103.898192882538,1632814599.61828,28.91
104.148202896118,1632814599.86829,28.87
104.398212909698,1632814600.1183,28.87
104.648222923279,1632814600.36831,28.87
104.898232936859,1632814600.61832,28.87
105.14825296402,1632814600.86834,28.89
105.3982629776,1632814601.11835,28.89
105.64827299118,1632814601.36836,28.89
105.898283004761,1632814601.61837,28.89
106.148293018341,1632814601.86838,28.91
106.398303031921,1632814602.11839,28.91
106.648323059082,1632814602.36841,28.91
106.898332834244,1632814602.61842,28.91
107.148342847824,1632814602.86843,28.93
107.398352861404,1632814603.11844,28.93
107.648362874985,1632814603.36845,28.93
107.898372888565,1632814603.61846,28.93
108.148382902145,1632814603.86847,28.91
108.398402929306,1632814604.11849,28.91
108.648412942886,1632814604.3685,28.91
108.898422956467,1632814604.61851,28.91
109.148432970047,1632814604.86852,28.91
109.398442983627,1632814605.11853,28.91
109.648452997208,1632814605.36854,28.91
109.898473024368,1632814605.61856,28.91
110.148483037949,1632814605.86857,28.91
110.398493051529,1632814606.11858,28.91
110.648503065109,1632814606.36859,28.91
110.898512840271,1632814606.6186,28.91
111.148522853851,1632814606.86861,28.91
111.398542881012,1632814607.11863,28.91
111.648552894592,1632814607.36864,28.91
111.898562908173,1632814607.61865,28.91
112.148572921753,1632814607.86866,28.91
112.398582935333,1632814608.11867,28.91
112.648592948914,1632814608.36868,28.91
112.898602962494,1632814608.61869,28.91
113.148622989655,1632814608.86871,28.91
113.398633003235,1632814609.11872,28.91
113.648643016815,1632814609.36873,28.91
113.898653030396,1632814609.61874,28.91
115.148712873459,1632814610.8688,28.89
115.398722887039,1632814611.11881,28.89
115.64873290062,1632814611.36882,28.89
115.8987429142,1632814611.61883,28.89
116.14876294136,1632814611.86885,28.91
116.398772954941,1632814612.11886,28.91
116.648782968521,1632814612.36887,28.91
116.898792982101,1632814612.61888,28.91
117.148802995682,1632814612.86889,28.91
117.398813009262,1632814613.1189,28.91
117.648823022842,1632814613.36891,28.91
117.898843050003,1632814613.61893,28.91
118.148853063583,1632814613.86894,28.91
118.398862838745,1632814614.11895,28.91
118.648872852325,1632814614.36896,28.91
118.898882865906,1632814614.61897,28.91
119.148892879486,1632814614.86898,28.93
119.398912906647,1632814615.119,28.93
119.648922920227,1632814615.36901,28.93
119.898932933807,1632814615.61902,28.93
120.148942947388,1632814615.86903,28.89
120.398952960968,1632814616.11904,28.89
120.648962974548,1632814616.36905,28.89
120.898983001709,1632814616.61907,28.89
121.148993015289,1632814616.86908,28.89
