SGTime,UnixTime,GSR
104.673213720322,1632897327.362,0.4423261
104.923213720322,1632897327.612,0.4423261
105.173213720322,1632897327.862,0.2975357
105.423213720322,1632897328.112,0.4577021
105.673213720322,1632897328.362,0.4717967
105.923213720322,1632897328.612,0.4320754
106.923213720322,1632897329.612,0.4359194
107.173213720322,1632897329.862,0.4359194
107.423213720322,1632897330.112,0.4346381
108.923213720322,1632897331.612,0.4295128
109.173213720322,1632897331.862,0.4256688
109.423213720322,1632897332.112,0.4295128
109.673213720322,1632897332.362,0.4295128
109.923213720322,1632897332.612,0.4282314
110.173213720322,1632897332.862,0.4307941
110.423213720322,1632897333.112,0.4282314
110.673213720322,1632897333.362,0.4320754
110.923213720322,1632897333.612,0.4307941
111.173213720322,1632897333.862,0.4231061
111.423213720322,1632897334.112,0.4307941
111.673213720322,1632897334.362,0.4269501
111.923213720322,1632897334.612,0.4295128
112.173213720322,1632897334.862,0.4307941
112.423213720322,1632897335.112,0.4295128
112.673213720322,1632897335.362,0.4295128
112.923213720322,1632897335.612,0.4295128
113.173213720322,1632897335.862,0.4269501
113.423213720322,1632897336.112,0.4282314
113.673213720322,1632897336.362,0.4243875
113.923213720322,1632897336.612,0.4231061
114.173213720322,1632897336.862,0.4295128
114.423213720322,1632897337.112,0.4243875
114.673213720322,1632897337.362,0.4295128
114.923213720322,1632897337.612,0.4307941
115.173213720322,1632897337.862,0.4256688
115.423213720322,1632897338.112,0.4282314
115.673213720322,1632897338.362,0.4269501
115.923213720322,1632897338.612,0.4231061
116.173213720322,1632897338.862,0.4256688
116.423213720322,1632897339.112,0.4256688
117.923213720322,1632897340.612,0.4179808
118.173213720322,1632897340.862,0.4295128
118.423213720322,1632897341.112,0.4243875
118.673213720322,1632897341.362,0.4282314
118.923213720322,1632897341.612,0.4320754
119.173213720322,1632897341.862,0.4231061
119.423213720322,1632897342.112,0.4192621
119.673213720322,1632897342.362,0.4205435
119.923213720322,1632897342.612,0.4218248
120.173213720322,1632897342.862,0.4269501
120.423213720322,1632897343.112,0.4218248
120.673213720322,1632897343.362,0.4179808
120.923213720322,1632897343.612,0.4192621
122.173213720322,1632897344.862,0.4115742
122.423213720322,1632897345.112,0.4115742
123.423213720322,1632897346.112,0.4154181
123.673213720322,1632897346.362,0.4295128
123.923213720322,1632897346.612,0.4231061
124.173213720322,1632897346.862,0.4205435
124.423213720322,1632897347.112,0.4166995
124.673213720322,1632897347.362,0.4154181
124.923213720322,1632897347.612,0.4077302
125.173213720322,1632897347.862,0.4026048
125.423213720322,1632897348.112,0.4051675
125.673213720322,1632897348.362,0.4051675
125.923213720322,1632897348.612,0.3987608
126.173213720322,1632897348.862,0.2590958
126.423213720322,1632897349.112,0.4051675
126.673213720322,1632897349.362,0.4077302
126.923213720322,1632897349.612,0.4295128
128.173213720322,1632897350.862,0.4384821
128.423213720322,1632897351.112,0.01308018
128.673213720322,1632897351.362,0.2754861
128.923213720322,1632897351.612,0.2588288
129.173213720322,1632897351.862,0.5906936
129.423213720322,1632897352.112,0.5817243
129.673213720322,1632897352.362,0.568911
129.923213720322,1632897352.612,0.5714736
130.173213720322,1632897352.862,0.568911
130.423213720322,1632897353.112,0.4074633
130.673213720322,1632897353.362,0.3472407
130.923213720322,1632897353.612,0.5240644
131.173213720322,1632897353.862,0.5765989
131.423213720322,1632897354.112,0.5830056
131.673213720322,1632897354.362,0.5945376
131.923213720322,1632897354.612,0.588131
132.173213720322,1632897354.862,0.5971003
132.423213720322,1632897355.112,0.6009442
132.673213720322,1632897355.362,0.5983816
132.923213720322,1632897355.612,0.5945376
133.923213720322,1632897356.612,0.5971003
134.173213720322,1632897356.862,0.5971003
134.423213720322,1632897357.112,0.5958189
135.673213720322,1632897358.362,0.5842869
135.923213720322,1632897358.612,0.588131
136.173213720322,1632897358.862,0.588131
136.423213720322,1632897359.112,0.5855682
136.673213720322,1632897359.362,0.5868496
136.923213720322,1632897359.612,0.5855682
137.173213720322,1632897359.862,0.3959313
137.423213720322,1632897360.112,0.5868496
137.673213720322,1632897360.362,0.5830056
137.923213720322,1632897360.612,0.5855682
138.173213720322,1632897360.862,0.580443
138.423213720322,1632897361.112,0.565067
