SGTime,UnixTime,GSR,Unnamed: 3,Unnamed: 4
350.16326,1631518962,3.608849,,
350.41326,1631518962,3.042808,,
350.66326,1631518963,3.264358,,
350.91326,1631518963,3.018476,,
351.16326,1631518963,2.918586,,
351.41326,1631518963,2.945009,,
351.66326,1631518964,2.896345,,
351.91326,1631518964,2.64534,,
352.16326,1631518964,2.421228,,
352.41326,1631518964,2.481288,,
352.66326,1631518965,2.341698,,
352.91326,1631518965,2.104781,,
353.16326,1631518965,3.094713,,
353.41326,1631518965,3.37018,,
353.66326,1631518966,3.220346,,
353.91326,1631518966,3.256204,,
354.16326,1631518966,3.395793,,
354.41326,1631518966,3.416283,,
354.66326,1631518967,3.540505,,
354.91326,1631518967,3.601166,,
355.91326,1631518968,3.1888,,
356.16326,1631518968,3.300216,,
356.41326,1631518968,3.275884,,
356.66326,1631518969,3.406509,,
356.91326,1631518969,2.972373,,
357.16326,1631518969,2.780277,,
357.41326,1631518969,2.28292,,
357.66326,1631518970,2.291754,,
357.91326,1631518970,2.38396,,2.921910437
358.16326,1631518970,2.611913,,
358.41326,1631518970,2.496655,,
358.66326,1631518971,2.556845,,
358.91326,1631518971,2.739977,,
359.16326,1631518971,3.094713,,
359.41326,1631518971,3.042337,,
360.16326,1631518972,2.28292,,
360.41326,1631518972,1.785902,,
360.66326,1631518973,1.283832,,
360.91326,1631518973,0.7957104,,
361.16326,1631518973,1.626745,,
361.41326,1631518973,2.104522,,
361.66326,1631518974,1.350425,,
361.91326,1631518974,2.104522,,
362.16326,1631518974,2.362129,,
362.41326,1631518974,2.202049,,
362.66326,1631518975,2.139298,,
362.91326,1631518975,2.267362,,
363.16326,1631518975,2.088073,,
363.41326,1631518975,2.099598,,
363.66326,1631518976,1.936957,,
363.91326,1631518976,1.894696,,
364.16326,1631518976,1.867803,,
364.41326,1631518976,1.948483,,
364.66326,1631518977,2.431283,,
364.91326,1631518977,2.492814,,
365.16326,1631518977,2.559407,,
365.41326,1631518977,2.5466,,
365.66326,1631518978,2.412133,,
365.91326,1631518978,2.291754,,
366.16326,1631518978,2.554284,,
366.41326,1631518978,2.64649,,
366.66326,1631518979,2.415975,,
366.91326,1631518979,2.419817,,
367.16326,1631518979,2.568371,,
367.41326,1631518979,2.636245,,
367.66326,1631518980,2.903898,,
367.91326,1631518980,2.718206,,
368.16326,1631518980,3.015314,,
368.41326,1631518980,3.350971,,
368.66326,1631518981,3.572521,,
368.91326,1631518981,3.712581,,
369.16326,1631518981,3.817593,,
369.41326,1631518981,3.987918,,
369.66326,1631518982,3.942164,,
369.91326,1631518982,3.984425,,
370.16326,1631518982,3.976741,,
370.41326,1631518982,4.084314,,
370.66326,1631518983,4.071508,,
370.91326,1631518983,3.810258,,
371.16326,1631518983,3.487538,,
371.41326,1631518983,3.461925,,
371.66326,1631518984,3.369719,,
371.91326,1631518984,3.403947,,
372.16326,1631518984,3.433402,,
372.41326,1631518984,3.598604,,
372.66326,1631518985,3.681846,,
372.91326,1631518985,3.694652,,
373.16326,1631518985,3.720265,,
373.41326,1631518985,3.671601,,
373.66326,1631518986,3.635743,,
373.91326,1631518986,3.565308,,
374.16326,1631518986,3.547379,,
374.41326,1631518986,3.581956,,
374.66326,1631518987,3.346319,,
374.91326,1631518987,3.182397,,
375.16326,1631518987,3.707458,,
375.41326,1631518987,3.800945,,
375.66326,1631518988,3.815032,,
375.91326,1631518988,3.981515,,
377.41326,1631518989,4.189327,,
378.66326,1631518991,4.140663,,
378.91326,1631518991,4.097121,,
379.16326,1631518991,4.063824,,
379.41326,1631518991,3.587427,,
379.66326,1631518992,3.314652,,
379.91326,1631518992,2.857115,,
380.16326,1631518992,2.603079,,
380.41326,1631518992,2.48526,,
380.66326,1631518993,2.601798,,
380.91326,1631518993,2.655585,,
381.16326,1631518993,2.518557,,
381.41326,1631518993,2.683759,,
381.66326,1631518994,2.678637,,
381.91326,1631518994,2.436596,,
382.16326,1631518994,2.451833,,
382.41326,1631518994,2.652893,,
382.66326,1631518995,2.729732,,
382.91326,1631518995,3.051171,,
383.16326,1631518995,3.126859,,
383.41326,1631518995,3.149911,,
383.66326,1631518996,3.306149,,
383.91326,1631518996,3.192172,,
384.16326,1631518996,3.103808,,
384.41326,1631518996,2.28292,,
384.66326,1631518997,1.785902,,
384.91326,1631518997,1.285113,,2.949131887
385.16326,1631518997,1.200392,,
385.41326,1631518997,2.063541,,
385.66326,1631518998,2.536295,,
385.91326,1631518998,2.398046,,
386.16326,1631518998,2.855234,,
386.41326,1631518998,2.971772,,
386.66326,1631518999,3.061547,,
386.91326,1631518999,3.59045,,
387.16326,1631518999,3.868819,,
387.41326,1631518999,3.973831,,
387.66326,1631519000,4.05486,,
387.91326,1631519000,4.147066,,
388.16326,1631519000,4.066386,,
388.41326,1631519000,3.483696,,
388.66326,1631519001,3.73342,,
388.91326,1631519001,3.278794,,
389.16326,1631519001,2.778996,,
389.41326,1631519001,2.818226,,
389.66326,1631519002,2.302129,,
389.91326,1631519002,1.787183,,
390.16326,1631519002,1.285113,,
390.41326,1631519002,0.8635842,,
390.66326,1631519003,1.626745,,
390.91326,1631519003,2.104522,,
391.16326,1631519003,1.965131,,
391.41326,1631519003,1.903661,,
391.66326,1631519004,1.825542,,
391.91326,1631519004,2.592643,,
392.16326,1631519004,2.308402,,
392.41326,1631519004,2.281508,,
392.66326,1631519005,2.529952,,
392.91326,1631519005,2.84755,,
393.16326,1631519005,3.044768,,
393.41326,1631519005,2.845119,,
